ID,actions,rewards,treatment
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,2,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,2,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,1,mid_entropy_cno
814,1,0,mid_entropy_cno
814,1,0,mid_entropy_cno
814,2,1,mid_entropy_cno
814,1,1,mid_entropy_cno
