pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
dreadds_1,6,2025 03 10,na_na_na_na,0_0_na,813,11 30 00,12 34 00,5,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,6,2025 03 10,na_na_na_na,0_0_na,814,11 30 00,12 34 00,6,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,7,2025 03 11,na_na_na_na,0_0_na,809,10 54 00,11 58 00,1,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,7,2025 03 11,na_na_na_na,0_0_na,810,10 54 00,11 58 00,2,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,7,2025 03 11,na_na_na_na,0_0_na,811,10 54 00,11 58 00,3,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,7,2025 03 11,na_na_na_na,0_0_na,812,10 54 00,11 58 00,4,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,7,2025 03 11,na_na_na_na,0_0_na,813,10 54 00,11 58 00,5,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,7,2025 03 11,na_na_na_na,0_0_na,814,10 54 00,11 58 00,6,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,8,2025 03 12,na_na_na_na,0_0_na,809,11 22 00,12 33 00,1,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,8,2025 03 12,na_na_na_na,0_0_na,810,11 22 00,12 33 00,2,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,8,2025 03 12,na_na_na_na,0_0_na,811,11 22 00,12 33 00,3,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,8,2025 03 12,na_na_na_na,0_0_na,812,11 22 00,12 33 00,4,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,8,2025 03 12,na_na_na_na,0_0_na,813,11 22 00,12 33 00,5,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,8,2025 03 12,na_na_na_na,0_0_na,814,11 22 00,12 33 00,6,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,9,2025 03 13,na_na_na_na,0_0_na,809,11 43 00,12 49 00,1,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,9,2025 03 13,na_na_na_na,0_0_na,810,11 43 00,12 49 00,2,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,9,2025 03 13,na_na_na_na,0_0_na,811,11 43 00,12 49 00,3,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,9,2025 03 13,na_na_na_na,0_0_na,812,11 43 00,12 49 00,4,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,9,2025 03 13,na_na_na_na,0_0_na,813,11 43 00,12 49 00,5,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,9,2025 03 13,na_na_na_na,0_0_na,814,11 43 00,12 49 00,6,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,10,2025 03 14,na_na_na_na,0_0_na,809,11 34 00,12 36 00,1,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,10,2025 03 14,na_na_na_na,0_0_na,810,11 34 00,12 36 00,2,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,10,2025 03 14,na_na_na_na,0_0_na,811,11 34 00,12 36 00,3,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,10,2025 03 14,na_na_na_na,0_0_na,812,11 34 00,12 36 00,4,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,10,2025 03 14,na_na_na_na,0_0_na,813,11 34 00,12 36 00,5,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,10,2025 03 14,na_na_na_na,0_0_na,814,11 34 00,12 36 00,6,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,11,2025 03 15,na_na_na_na,0_0_na,809,11 05 00,12 05 00,1,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,11,2025 03 15,na_na_na_na,0_0_na,810,11 05 00,12 05 00,2,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,11,2025 03 15,na_na_na_na,0_0_na,811,11 05 00,12 05 00,3,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,11,2025 03 15,na_na_na_na,0_0_na,812,11 05 00,12 05 00,4,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,11,2025 03 15,na_na_na_na,0_0_na,813,11 05 00,12 05 00,5,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,11,2025 03 15,na_na_na_na,0_0_na,814,11 05 00,12 05 00,6,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,12,2025 03 16,na_na_na_na,0_0_na,809,10 57 00,12 57 00,6,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,12,2025 03 16,na_na_na_na,0_0_na,810,10 57 00,12 57 00,5,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,12,2025 03 16,na_na_na_na,0_0_na,811,10 57 00,12 57 00,4,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,12,2025 03 16,na_na_na_na,0_0_na,812,10 57 00,12 57 00,3,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,12,2025 03 16,na_na_na_na,0_0_na,813,10 57 00,12 57 00,2,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,12,2025 03 16,na_na_na_na,0_0_na,814,10 57 00,12 57 00,1,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
